Asikli,Gedik Pasa,Kocatepe,Cafer Huyuk,Boy Tepe,Papazgolu,Golbent Ergani,Cinaz Huyuk,Gobekli,Djade,Cheikh Hassan,Mureybet,Abu Hureyra,Ghoraife,Aswad,Guran,Tell Abdul Hosein,Ali Kosh,Beidha,Yiftael,Kfar Hahoresh,Mujahiya,Nahal Lavan,Jericho,Shillourokambos,Cayonu,Munhata,Nahal Oren,Mikhmoret,Birikin Magarasi,Nevshehir Kogulalti,Halula,Akarcay Tepe,Horvat Galil,
Asikli,200,25,25,0,0,0,0,0,87,161,170,131,55,133,170,0,0,0,133,170,170,170,170,170,179,0,25,170,170,0,170,50,67,170
Gedik Pasa,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Kocatepe,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Cafer Huyuk,0,0,0,200,162,138,138,171,70,36,0,61,84,38,4,105,38,162,38,0,0,0,0,0,0,118,0,0,0,162,0,88,38,0
Boy Tepe,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Papazgolu,0,0,0,138,100,200,200,167,113,36,0,69,145,67,4,167,100,100,67,0,0,0,0,0,0,180,0,0,0,100,0,150,100,0
Golbent Ergani,0,0,0,138,100,200,200,167,113,36,0,69,145,67,4,167,100,100,67,0,0,0,0,0,0,180,0,0,0,100,0,150,100,0
Cinaz Huyuk,0,0,0,171,133,167,167,200,99,36,0,69,112,67,4,133,67,133,67,0,0,0,0,0,0,147,0,0,0,133,0,117,67,0
Gobekli,87,0,0,70,32,113,113,99,200,123,87,156,167,154,91,113,81,32,154,87,87,87,87,87,87,113,0,87,87,32,87,163,148,87
Djade,161,0,0,36,32,36,36,36,123,200,161,157,90,137,164,36,4,32,137,161,161,161,161,161,161,36,0,161,161,32,161,86,70,161
Cheikh Hassan,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mureybet,131,0,0,61,23,69,69,69,156,157,131,200,124,177,135,69,46,23,177,131,131,131,131,131,131,69,0,131,131,23,131,119,113,131
Abu Hureyra,55,0,0,84,45,145,145,112,167,90,55,124,200,121,58,145,100,45,121,55,55,55,55,55,55,145,0,55,55,45,55,195,155,55
Ghoraife,133,0,0,38,0,67,67,67,154,137,133,177,121,200,137,67,67,0,200,133,133,133,133,133,133,67,0,133,133,0,133,117,133,133
Aswad,170,0,0,4,0,4,4,4,91,164,196,135,58,137,200,4,4,0,137,196,196,196,196,196,191,4,0,196,196,0,196,54,70,196
Guran,0,0,0,105,67,167,167,133,113,36,0,69,145,67,4,200,133,67,67,0,0,0,0,0,0,187,0,0,0,67,0,150,133,0
Tell Abdul Hosein,0,0,0,38,0,100,100,67,81,4,0,46,100,67,4,133,200,0,67,0,0,0,0,0,0,120,0,0,0,0,0,100,133,0
Ali Kosh,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Beidha,133,0,0,38,0,67,67,67,154,137,133,177,121,200,137,67,67,0,200,133,133,133,133,133,133,67,0,133,133,0,133,117,133,133
Yiftael,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Kfar Hahoresh,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mujahiya,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Nahal Lavan,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Jericho,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Shillourokambos,179,9,9,0,0,0,0,0,87,161,191,131,55,133,191,0,0,0,133,191,191,191,191,191,200,0,9,191,191,0,191,50,67,191
Cayonu,0,0,0,118,80,180,180,147,113,36,0,69,145,67,4,187,120,80,67,0,0,0,0,0,0,200,0,0,0,80,0,150,120,0
Munhata,25,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,200,0,0,0,0,0,0,0
Nahal Oren,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Mikhmoret,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Birikin Magarasi,0,0,0,162,200,100,100,133,32,32,0,23,45,0,0,67,0,200,0,0,0,0,0,0,0,80,0,0,0,200,0,50,0,0
Nevshehir Kogulalti,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
Halula,50,0,0,88,50,150,150,117,163,86,50,119,195,117,54,150,100,50,117,50,50,50,50,50,50,150,0,50,50,50,50,200,150,50
Akarcay Tepe,67,0,0,38,0,100,100,67,148,70,67,113,155,133,70,133,133,0,133,67,67,67,67,67,67,120,0,67,67,0,67,150,200,67
Horvat Galil,170,0,0,0,0,0,0,0,87,161,200,131,55,133,196,0,0,0,133,200,200,200,200,200,191,0,0,200,200,0,200,50,67,200
